code	no_of_companies	shareholder_Name	shareholder_Country
EC0992697415001	6	Banco Del Instituto Ecuatoriano De Seguridad Social, Comercializadora De Papeles Y Cartones Surpapel S.A., Congregacion Educacional Del Verbo Divino En El Ecuador, Fideicomiso Mercantil Numero 1 M-02-011-03 Fondo Ambiental Nacional-Fan, International Packaging Systems Holdings CoãœãžãœâPeratief U.A., Mr Oscar Illingworth Guerrero, Mr Pedro Antonio Huerta Barros, Mrs Carmen Del Mar Grijalva Guadamud Solanda, Mrs Marta Ruth Beals De Espinoza, Rio Grande Forestal (Riverforest) S.A., Servicio De Cesantia De La Policia Nacional, Stup S.A.	EC, EC, EC, EC, NL, EC, CL, EC, AR, EC, EC, EC
EC0990344760001	0		
EC0990015449001	3	Ametco Group Llc, Kobalto Holding Co. Llc, Mr Kristel Kathrein Duenas Amrhein	US, US, CR
EC0990013497001	53	Arca Continental, S.A.B. De C.V., Betal Invest & Trade Ltda, Holding Tonicorp S.A., Industrias Lacteas Toni Sa	MX, GB, EC, EC
EC0990010110001	0	Jomafe Llc	US
EC0992426357001	2	Dismedsa Cia.Ltda., South American Real Estate Investors Corporation.	EC, PA
EC0690000261001	0		
EC0991284214001	2	Diteca Holdings Llc, Mr Alfredo Jose Ortega Maldonado	US, EC
EC1790003388001	2	Global Oil & Tire Company Llc, Mr Herdo Chiriboga Davalos	US, EC
EC0991265414001	3	Estate Holding Assets Llc, Mr Ivan Goldstein Valdez Gad	US, EC
EC1790013502001	3	Direccion Provincial De Salud De Pichincha, Ministerio De Salud Publica Del Ecuador, Pharmex Limited Sociedad Anonima	EC, EC, CR
EC54298	0		
